Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
45908313,03/28/2020 08:35:44 PM,03/28/2020 09:39:59 PM,NYPD,New York City Police Department,Non-Emergency Police Matter,Social Distancing,Park/Playground,11201,2 METROTECH,METROTECH,LAWRENCE STREET,BRIDGE STREET,LAWRENCE STREET,BRIDGE STREET,,BROOKLYN,METROTECH CENTER,,Closed,,,,02 BROOKLYN,3001480007,BROOKLYN,988217,192020,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.693726426537700,-73.9856945509795,"(40.693726426537715, -73.9856945509795)"
45910492,03/28/2020 08:44:48 PM,03/28/2020 09:02:47 PM,NYPD,New York City Police Department,Non-Emergency Police Matter,Social Distancing,Street/Sidewalk,10038,59 MAIDEN LANE,MAIDEN LANE,NASSAU STREET,WILLIAM STREET,NASSAU STREET,WILLIAM STREET,,NEW YORK,MAIDEN LANE,,Closed,,The Police Department responded to the complaint and with the information available observed no evid,03/29/2020 01:02:52 AM,01 MANHATTAN,1000670001,MANHATTAN,981968,197317,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.708266046703500,-74.0082309440472,"(40.708266046703514, -74.0082309440472)"
45911511,03/29/2020 09:20:36 AM,03/29/2020 11:59:45 PM,NYPD,New York City Police Department,Non-Emergency Police Matter,Social Distancing,,10024,BROADWAY,BROADWAY,BROADWAY,WEST   86 STREET,BROADWAY,WEST   86 STREET,,,,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,03/30/2020 03:59:47 AM,07 MANHATTAN,,MANHATTAN,990758,226482,PHONE,Unspecified,MANHATTAN,,,,,,,,40.7883145239069,-73.97649807691330,"(40.7883145239069, -73.97649807691329)"
45911512,03/29/2020 09:12:48 PM,03/29/2020 11:23:19 PM,NYPD,New York City Police Department,Non-Emergency Police Matter,Social Distancing,Street/Sidewalk,11225,490 MONTGOMERY STREET,MONTGOMERY STREET,CLOVE ROAD,NEW YORK AVENUE,CLOVE ROAD,NEW YORK AVENUE,,BROOKLYN,MONTGOMERY STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evid,03/30/2020 03:23:22 AM,09 BROOKLYN,3013090049,BROOKLYN,998464,181658,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.66527456458590,-73.948764575294,"(40.66527456458589, -73.948764575294)"
45912588,03/29/2020 11:51:35 AM,03/29/2020 09:47:05 PM,NYPD,New York City Police Department,Non-Emergency Police Matter,Social Distancing,Store/Commercial,10465,2560 BRUCKNER BOULEVARD,BRUCKNER BOULEVARD,CROSS BRONX EXPWY ET    6 A EB,HUTCHINSON RIVER PARKWAY,CROSS BRONX EXPWY ET    6 A EB,HUTCHINSON RIVER PARKWAY,,BRONX,BRUCKNER BOULEVARD,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,03/30/2020 01:47:09 AM,10 BRONX,2055420041,BRONX,1028821,240971,PHONE,Unspecified,BRONX,,,,,,,,40.82797275630880,-73.83894758409850,"(40.82797275630884, -73.83894758409845)"
45912587,03/29/2020 11:50:40 AM,03/29/2020 12:09:22 PM,NYPD,New York City Police Department,Non-Emergency Police Matter,Social Distancing,Residential Building/House,11362,252-11 63 AVENUE,63 AVENUE,252 STREET,255 STREET,252 STREET,255 STREET,,LITTLE NECK,63 AVENUE,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary,03/29/2020 04:09:28 PM,11 QUEENS,4083630001,QUEENS,1060232,214942,ONLINE,Unspecified,QUEENS,,,,,,,,40.75631616086860,-73.72574244136680,"(40.75631616086855, -73.72574244136676)"
45912895,03/29/2020 06:10:15 PM,03/29/2020 07:24:23 PM,NYPD,New York City Police Department,Non-Emergency Police Matter,Social Distancing,,10069,WEST   63 STREET,WEST   63 STREET,WEST   63 STREET,WEST END AVENUE,WEST   63 STREET,WEST END AVENUE,,,,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary,03/29/2020 11:24:28 PM,07 MANHATTAN,,MANHATTAN,987400,221308,PHONE,Unspecified,MANHATTAN,,,,,,,,40.77411510013840,-73.98862703263870,"(40.77411510013836, -73.98862703263869)"
45912959,03/29/2020 11:37:58 AM,03/29/2020 11:39:52 AM,NYPD,New York City Police Department,Non-Emergency Police Matter,Social Distancing,,11230,1617 AVENUE M,AVENUE M,EAST   16 STREET,EAST   17 STREET,EAST   16 STREET,EAST   17 STREET,,BROOKLYN,AVENUE M,,Closed,,The Police Department responded to the complaint and with the information available observed no evid,03/29/2020 03:39:56 PM,14 BROOKLYN,3067360048,BROOKLYN,995673,164487,PHONE,Unspecified,BROOKLYN,,,,,,,,40.61814790116940,-73.9588540143923,"(40.61814790116937, -73.9588540143923)"
45913161,03/29/2020 07:25:58 PM,03/29/2020 08:29:00 PM,NYPD,New York City Police Department,Non-Emergency Police Matter,Social Distancing,Residential Building/House,11235,2840 KNAPP STREET,KNAPP STREET,SHORE PARKWAY,EMMONS AVENUE,SHORE PARKWAY,EMMONS AVENUE,,BROOKLYN,KNAPP STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary,03/30/2020 12:29:02 AM,15 BROOKLYN,3088080045,BROOKLYN,1003368,152357,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.584840262023600,-73.93117073607580,"(40.584840262023626, -73.93117073607584)"
45913194,03/29/2020 02:47:32 PM,03/29/2020 04:06:57 PM,NYPD,New York City Police Department,Non-Emergency Police Matter,Social Distancing,Store/Commercial,10018,39 WEST   37 STREET,WEST   37 STREET,5 AVENUE,AVENUE OF THE AMERICAS,5 AVENUE,AVENUE OF THE AMERICAS,,NEW YORK,WEST   37 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evid,03/29/2020 08:07:00 PM,05 MANHATTAN,1008390016,MANHATTAN,988537,212858,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.75092154667210,-73.98452732190240,"(40.75092154667205, -73.98452732190236)"
45913211,03/29/2020 03:22:16 PM,03/29/2020 04:20:33 PM,NYPD,New York City Police Department,Non-Emergency Police Matter,Social Distancing,Store/Commercial,11372,86 STREET,86 STREET,86 STREET,NORTHERN BOULEVARD,86 STREET,NORTHERN BOULEVARD,,,,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary,03/29/2020 08:20:39 PM,03 QUEENS,,QUEENS,1017039,214712,PHONE,Unspecified,QUEENS,,,,,,,,40.75595054841130,-73.88164868289850,"(40.75595054841129, -73.88164868289849)"
45913210,03/29/2020 12:49:46 PM,03/29/2020 01:32:08 PM,NYPD,New York City Police Department,Non-Emergency Police Matter,Social Distancing,Store/Commercial,11226,2210 VANDERVEER PLACE,VANDERVEER PLACE,FLATBUSH AVENUE,EAST   23 STREET,FLATBUSH AVENUE,EAST   23 STREET,,BROOKLYN,VANDERVEER PLACE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,03/29/2020 05:32:11 PM,14 BROOKLYN,3051880028,BROOKLYN,996266,173168,PHONE,Unspecified,BROOKLYN,,,,,,,,40.64197462630200,-73.95670255539350,"(40.64197462630204, -73.95670255539349)"
45913400,03/29/2020 11:15:55 AM,03/29/2020 11:26:00 AM,NYPD,New York City Police Department,Non-Emergency Police Matter,Social Distancing,,10009,500 EAST   14 STREET,EAST   14 STREET,AVENUE A,AVENUE B,AVENUE A,AVENUE B,,NEW YORK,EAST   14 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,03/29/2020 03:26:04 PM,03 MANHATTAN,1004077503,MANHATTAN,989715,205385,PHONE,Unspecified,MANHATTAN,,,,,,,,40.73040937110830,-73.98028174541910,"(40.73040937110826, -73.98028174541913)"
45913406,03/29/2020 05:30:40 PM,03/30/2020 01:48:07 AM,NYPD,New York City Police Department,Non-Emergency Police Matter,Social Distancing,,11234,6620 AVENUE U,AVENUE U,EAST   66 STREET,EAST   67 STREET,EAST   66 STREET,EAST   67 STREET,,BROOKLYN,AVENUE U,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,03/30/2020 05:48:08 AM,18 BROOKLYN,3086310001,BROOKLYN,1009030,164243,PHONE,Unspecified,BROOKLYN,,,,,,,,40.61745088301910,-73.91074262316540,"(40.61745088301914, -73.91074262316538)"
45913629,03/29/2020 04:37:57 PM,03/29/2020 04:49:47 PM,NYPD,New York City Police Department,Non-Emergency Police Matter,Social Distancing,Store/Commercial,10022,60 EAST   56 STREET,EAST   56 STREET,MADISON AVENUE,PARK AVENUE,MADISON AVENUE,PARK AVENUE,,NEW YORK,EAST   56 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,03/29/2020 08:49:51 PM,05 MANHATTAN,1012910045,MANHATTAN,991934,216661,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.76135751287860,-73.97226249401270,"(40.76135751287863, -73.97226249401271)"
45913690,03/29/2020 02:45:48 PM,03/29/2020 09:23:09 PM,NYPD,New York City Police Department,Non-Emergency Police Matter,Social Distancing,Store/Commercial,10014,CHRISTOPHER STREET,CHRISTOPHER STREET,GROVE STREET,7 AVENUE SOUTH,GROVE STREET,7 AVENUE SOUTH,,,,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary,03/30/2020 01:23:11 AM,Unspecified MANHATTAN,,MANHATTAN,,,PHONE,Unspecified,MANHATTAN,,,,,,,,,,
45913694,03/29/2020 10:18:03 PM,03/29/2020 10:47:36 PM,NYPD,New York City Police Department,Non-Emergency Police Matter,Social Distancing,Store/Commercial,10302,43 BENNETT STREET,BENNETT STREET,AVENUE B,COTTAGE PLACE,AVENUE B,COTTAGE PLACE,,STATEN ISLAND,BENNETT STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,03/30/2020 02:47:38 AM,01 STATEN ISLAND,5010090027,STATEN ISLAND,948174,171444,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.637177298418700,-74.12998392379500,"(40.637177298418656, -74.12998392379501)"
45913693,03/29/2020 02:55:07 PM,03/29/2020 11:05:15 PM,NYPD,New York City Police Department,Non-Emergency Police Matter,Social Distancing,Store/Commercial,11102,18-10 26 ROAD,26 ROAD,18 STREET,21 STREET,18 STREET,21 STREET,,ASTORIA,26 ROAD,,Closed,,The Police Department responded to the complaint and with the information available observed no evid,03/30/2020 03:05:17 AM,01 QUEENS,4008850024,QUEENS,1004506,220987,ONLINE,Unspecified,QUEENS,,,,,,,,40.77321139205310,-73.92686738833350,"(40.77321139205306, -73.92686738833346)"
45913892,03/29/2020 03:30:01 PM,03/29/2020 04:21:18 PM,NYPD,New York City Police Department,Non-Emergency Police Matter,Social Distancing,,11372,86-02 NORTHERN BOULEVARD,NORTHERN BOULEVARD,86 STREET,87 STREET,86 STREET,87 STREET,,JACKSON HEIGHTS,NORTHERN BOULEVARD,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary,03/29/2020 08:21:19 PM,03 QUEENS,4014340001,QUEENS,1017082,214715,PHONE,Unspecified,QUEENS,,,,,,,,40.755958623074700,-73.88149346069690,"(40.755958623074655, -73.88149346069693)"
45914197,03/29/2020 08:43:49 PM,03/29/2020 10:32:09 PM,NYPD,New York City Police Department,Non-Emergency Police Matter,Social Distancing,Store/Commercial,11222,10 INDIA STREET,INDIA STREET,DEAD END,WEST STREET,DEAD END,WEST STREET,,BROOKLYN,INDIA STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evid,03/30/2020 02:32:12 AM,01 BROOKLYN,,BROOKLYN,995110,205871,PHONE,Unspecified,BROOKLYN,,,,,,,,40.73173834330960,-73.9608152752312,"(40.73173834330959, -73.9608152752312)"
45914206,03/29/2020 04:39:41 PM,03/29/2020 04:45:02 PM,NYPD,New York City Police Department,Non-Emergency Police Matter,Social Distancing,Store/Commercial,10128,1407 LEXINGTON AVENUE,LEXINGTON AVENUE,EAST   92 STREET,EAST   93 STREET,EAST   92 STREET,EAST   93 STREET,,NEW YORK,LEXINGTON AVENUE,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary,03/29/2020 08:45:05 PM,08 MANHATTAN,1015210020,MANHATTAN,997353,224712,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.78344902989910,-73.95268543227120,"(40.78344902989909, -73.95268543227118)"
45914205,03/29/2020 09:07:26 PM,03/29/2020 10:31:07 PM,NYPD,New York City Police Department,Non-Emergency Police Matter,Social Distancing,Residential Building/House,11233,460A HANCOCK STREET,HANCOCK STREET,MARCUS GARVEY BOULEVARD,LEWIS AVENUE,MARCUS GARVEY BOULEVARD,LEWIS AVENUE,,BROOKLYN,HANCOCK STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evid,03/30/2020 02:31:11 AM,03 BROOKLYN,3016590021,BROOKLYN,1001770,188499,PHONE,Unspecified,BROOKLYN,,,,,,,,40.68404564056310,-73.93683007256510,"(40.68404564056314, -73.93683007256506)"
45914210,03/29/2020 08:55:15 AM,03/29/2020 09:47:58 AM,NYPD,New York City Police Department,Non-Emergency Police Matter,Social Distancing,Residential Building/House,11220,510 58 STREET,58 STREET,5 AVENUE,6 AVENUE,5 AVENUE,6 AVENUE,,BROOKLYN,58 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evid,03/29/2020 01:48:18 PM,07 BROOKLYN,3008560008,BROOKLYN,980226,172564,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.640324012678500,-74.01449938423640,"(40.640324012678484, -74.01449938423643)"
45914221,03/29/2020 09:06:52 AM,03/29/2020 11:44:56 AM,NYPD,New York City Police Department,Non-Emergency Police Matter,Social Distancing,Store/Commercial,11220,5415 5 AVENUE,5 AVENUE,54 STREET,55 STREET,54 STREET,55 STREET,,BROOKLYN,5 AVENUE,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary,03/29/2020 03:44:58 PM,07 BROOKLYN,3008240004,BROOKLYN,980702,173437,PHONE,Unspecified,BROOKLYN,,,,,,,,40.642720413858900,-74.01278470745260,"(40.642720413858896, -74.01278470745262)"
45914369,03/29/2020 05:40:30 PM,03/29/2020 07:29:55 PM,NYPD,New York City Police Department,Non-Emergency Police Matter,Social Distancing,,11218,717 CONEY ISLAND AVENUE,CONEY ISLAND AVENUE,AVENUE C,CORTELYOU ROAD,AVENUE C,CORTELYOU ROAD,,BROOKLYN,CONEY ISLAND AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,03/29/2020 11:29:59 PM,14 BROOKLYN,3051410130,BROOKLYN,992848,172499,PHONE,Unspecified,BROOKLYN,,,,,,,,40.64014234245960,-73.96901954068430,"(40.64014234245958, -73.96901954068434)"
45914906,03/29/2020 02:22:11 PM,03/29/2020 08:13:23 PM,NYPD,New York City Police Department,Non-Emergency Police Matter,Social Distancing,,10303,121 VAN PELT AVENUE,VAN PELT AVENUE,HEUSDEN STREET,WALKER STREET,HEUSDEN STREET,WALKER STREET,,STATEN ISLAND,VAN PELT AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,03/30/2020 12:13:25 AM,01 STATEN ISLAND,5011920020,STATEN ISLAND,941198,169987,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.63314698953880,-74.15510951315130,"(40.63314698953875, -74.15510951315129)"
45914907,03/29/2020 04:23:43 PM,03/29/2020 05:21:24 PM,NYPD,New York City Police Department,Non-Emergency Police Matter,Social Distancing,,11378,57-10 GRAND AVENUE,GRAND AVENUE,57 STREET,LIRR MONTAUK LINE,57 STREET,LIRR MONTAUK LINE,,MASPETH,GRAND AVENUE,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary,03/29/2020 09:21:26 PM,05 QUEENS,4026220134,QUEENS,1008644,201396,PHONE,Unspecified,QUEENS,,,,,,,,40.71942859025460,-73.91199854904470,"(40.71942859025463, -73.91199854904472)"
45915203,03/29/2020 10:12:49 AM,03/29/2020 11:25:42 PM,NYPD,New York City Police Department,Non-Emergency Police Matter,Social Distancing,Residential Building/House,11226,135 CLARKSON AVENUE,CLARKSON AVENUE,BEDFORD AVENUE,ROGERS AVENUE,BEDFORD AVENUE,ROGERS AVENUE,,BROOKLYN,CLARKSON AVENUE,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary,03/30/2020 03:25:47 AM,09 BROOKLYN,3050560083,BROOKLYN,996708,177961,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.655129760418700,-73.95510103772130,"(40.655129760418696, -73.95510103772128)"
45915204,03/29/2020 03:49:14 PM,03/30/2020 02:58:25 AM,NYPD,New York City Police Department,Non-Emergency Police Matter,Social Distancing,,11416,81-05 ROCKAWAY BOULEVARD,ROCKAWAY BOULEVARD,81 STREET,82 STREET,81 STREET,82 STREET,,OZONE PARK,ROCKAWAY BOULEVARD,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary,03/30/2020 06:58:28 AM,09 QUEENS,4090090006,QUEENS,1023230,188660,PHONE,Unspecified,QUEENS,,,,,,,,40.684419056218500,-73.85945328748360,"(40.684419056218495, -73.85945328748362)"
45915205,03/29/2020 11:43:09 PM,03/30/2020 03:53:37 AM,NYPD,New York City Police Department,Non-Emergency Police Matter,Social Distancing,,11413,134-54 218 STREET,218 STREET,MERRICK BOULEVARD,134 ROAD,MERRICK BOULEVARD,134 ROAD,,SPRINGFIELD GARDENS,218 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,03/30/2020 07:53:42 AM,13 QUEENS,,QUEENS,1053099,186836,PHONE,Unspecified,QUEENS,,,,,,,,40.679230674406600,-73.75177638339750,"(40.679230674406554, -73.75177638339747)"
45915223,03/30/2020 12:32:25 AM,,NYPD,New York City Police Department,Non-Emergency Police Matter,Social Distancing,Store/Commercial,11375,114-43 QUEENS BOULEVARD,QUEENS BOULEVARD,76 DRIVE,77 AVENUE,76 DRIVE,77 AVENUE,,FOREST HILLS,QUEENS BOULEVARD,,In Progress,,Your complaint has been received by the Police Department and additional information will be availab,03/30/2020 04:53:45 AM,06 QUEENS,4022660079,QUEENS,1030226,200397,ONLINE,Unspecified,QUEENS,,,,,,,,40.71660074403820,-73.83414836495600,"(40.71660074403822, -73.83414836495598)"
45915222,03/29/2020 03:21:45 PM,03/30/2020 12:42:15 AM,NYPD,New York City Police Department,Non-Emergency Police Matter,Social Distancing,Store/Commercial,10451,930 GRAND CONCOURSE,GRAND CONCOURSE,EAST  162 STREET,EAST  163 STREET,EAST  162 STREET,EAST  163 STREET,,BRONX,GRAND CONCOURSE,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,03/30/2020 04:42:23 AM,04 BRONX,2024610007,BRONX,1005881,241076,ONLINE,Unspecified,BRONX,,,,,,,,40.82834692303830,-73.92183835008970,"(40.82834692303825, -73.92183835008971)"
45915221,03/29/2020 06:39:47 PM,03/29/2020 07:40:44 PM,NYPD,New York City Police Department,Non-Emergency Police Matter,Social Distancing,Store/Commercial,10035,2142 3 AVENUE,3 AVENUE,EAST  116 STREET,EAST  117 STREET,EAST  116 STREET,EAST  117 STREET,,NEW YORK,3 AVENUE,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary,03/29/2020 11:40:49 PM,11 MANHATTAN,1016440040,MANHATTAN,1000971,230208,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.79852796262160,-73.93960725632990,"(40.79852796262156, -73.93960725632986)"
45913682,03/29/2020 11:41:56 AM,03/29/2020 08:20:31 PM,NYPD,New York City Police Department,Non-Emergency Police Matter,Social Distancing,Store/Commercial,11220,5520 4 AVENUE,4 AVENUE,55 STREET,56 STREET,55 STREET,56 STREET,,BROOKLYN,4 AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,03/30/2020 12:20:36 AM,07 BROOKLYN,3008300043,BROOKLYN,979901,173725,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.643510554829500,-74.0156711812919,"(40.643510554829476, -74.0156711812919)"
45913831,03/29/2020 08:05:00 PM,03/29/2020 09:09:30 PM,NYPD,New York City Police Department,Non-Emergency Police Matter,Social Distancing,,11210,1279 EAST   24 STREET,EAST   24 STREET,AVENUE L,AVENUE M,AVENUE L,AVENUE M,,BROOKLYN,EAST   24 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,03/30/2020 01:09:31 AM,14 BROOKLYN,3076420011,BROOKLYN,997758,165046,PHONE,Unspecified,BROOKLYN,,,,,,,,40.619679306267100,-73.95134266537940,"(40.619679306267095, -73.95134266537939)"
45912932,03/29/2020 08:35:39 PM,03/29/2020 09:24:11 PM,NYPD,New York City Police Department,Non-Emergency Police Matter,Social Distancing,Park/Playground,11206,18 MIDDLETON STREET,MIDDLETON STREET,WALLABOUT STREET,LEE AVENUE,WALLABOUT STREET,LEE AVENUE,,BROOKLYN,MIDDLETON STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evid,03/30/2020 01:24:17 AM,01 BROOKLYN,3022390003,BROOKLYN,996664,194417,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.700297815587200,-73.95522930278270,"(40.700297815587156, -73.95522930278271)"
45911977,03/29/2020 04:50:31 PM,03/29/2020 10:06:37 PM,NYPD,New York City Police Department,Non-Emergency Police Matter,Social Distancing,,10472,1221 FTELEY AVENUE,FTELEY AVENUE,GLEASON AVENUE,WESTCHESTER AVENUE,GLEASON AVENUE,WESTCHESTER AVENUE,,BRONX,FTELEY AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evid,03/30/2020 02:06:40 AM,09 BRONX,2037470001,BRONX,1019752,241663,PHONE,Unspecified,BRONX,,,,,,,,40.829913205360000,-73.87171370531320,"(40.829913205360015, -73.87171370531318)"
45912702,03/29/2020 03:52:28 PM,03/29/2020 04:32:40 PM,NYPD,New York City Police Department,Non-Emergency Police Matter,Social Distancing,Store/Commercial,10458,264 EAST  204 STREET,EAST  204 STREET,VALENTINE AVENUE,EAST MOSHOLU PARKWAY SOUTH,VALENTINE AVENUE,EAST MOSHOLU PARKWAY SOUTH,,BRONX,EAST  204 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary,03/29/2020 08:32:44 PM,07 BRONX,2033090058,BRONX,1016350,257744,PHONE,Unspecified,BRONX,,,,,,,,40.87406375685250,-73.88392980327200,"(40.87406375685247, -73.88392980327201)"
45913898,03/29/2020 11:47:22 AM,03/29/2020 04:34:19 PM,NYPD,New York City Police Department,Non-Emergency Police Matter,Social Distancing,,11226,2717 BEVERLY ROAD,BEVERLY ROAD,ROGERS AVENUE,EAST   28 STREET,ROGERS AVENUE,EAST   28 STREET,,BROOKLYN,BEVERLEY ROAD,,Closed,,The Police Department responded to the complaint and with the information available observed no evid,03/29/2020 08:34:20 PM,17 BROOKLYN,3051380035,BROOKLYN,997775,174271,PHONE,Unspecified,BROOKLYN,,,,,,,,40.64499994778320,-73.95126294137000,"(40.64499994778317, -73.95126294137003)"
45912724,03/30/2020 12:25:51 AM,03/30/2020 01:05:35 AM,NYPD,New York City Police Department,Non-Emergency Police Matter,Social Distancing,Store/Commercial,11385,73-05 88 STREET,88 STREET,RUTLEDGE AVENUE,74 AVENUE,RUTLEDGE AVENUE,74 AVENUE,,RIDGEWOOD,88 STREET,,Closed,,The Police Department responded to the complaint but officers were unable to gain entry into the pre,03/30/2020 05:05:40 AM,05 QUEENS,4038540060,QUEENS,1022118,197545,ONLINE,Unspecified,QUEENS,,,,,,,,40.708811113041900,-73.86341276788180,"(40.708811113041875, -73.86341276788178)"
45914156,03/29/2020 08:55:45 PM,03/29/2020 10:46:33 PM,NYPD,New York City Police Department,Non-Emergency Police Matter,Social Distancing,Store/Commercial,11220,5612 5 AVENUE,5 AVENUE,56 STREET,57 STREET,56 STREET,57 STREET,,BROOKLYN,5 AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,03/30/2020 02:46:37 AM,07 BROOKLYN,3008390041,BROOKLYN,980376,173036,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.641619618373400,-74.01395917126190,"(40.641619618373404, -74.01395917126185)"
